Crop,Year,Location-Name,Latitude,Longitude,Location-Quality,Location-Quality-Reason,Planting-Date,Planting-Date-Quality,Planting-Date-Quality-Reason,Harvest-Date,Soil-Type,Yield,Data-Source,Sim-Location,MUKEY,Sim-Soil-Type
,,,,,,,,,,,,kg ha-1,,,,derived from predominate component of STATSGO map unit
Spring Canola,2011,Pendleton,45.72,-118.6277,Good,,17-Mar-11,Good,,NA,NA,1753,UOI canola varietal trial reports,45.7284N118.6464W,666983,Walla Walla 
Spring Canola,2012,Pendleton,45.72,-118.6277,Good,,26-Mar-12,Good,,NA,NA,811,do,45.7284N118.6464W,666983,Walla Walla 
Spring Canola,2014,Pendleton,45.72,-118.6277,Good,,2-Apr-14,Good,,NA,NA,1381,do,45.7284N118.6464W,666983,Walla Walla 
Spring Canola,2016,Pendleton,45.72,-118.6277,Good,,31-Mar-16,Good,,NA,NA,1270,do,45.7284N118.6464W,666983,Walla Walla 
Spring Canola,2011,Craigmont,46.253355,-116.329613,Seems good,,13-May-11,Good,,NA,NA,2328,do,46.2284N116.3965W,661970,Uhlorn 
Spring Canola,2012,Craigmont,46.253355,-116.391028,Seems good,,17-Apr-12,Good,,NA,NA,2254,do,46.2284N116.4382W,661970,Uhlorn 
Spring Canola,2013,Craigmont,46.230751,-116.432049,Good,,25-Apr-13,Good,,NA,NA,1849,do,46.2701N116.3132W,661970,Uhlorn 
Spring Canola,2015,Craigmont,46.25338,-116.350394,Seems good,,1-May-15,Good,,NA,NA,668,do,46.2701N116.3548W,661970,Uhlorn 
Spring Canola,2016,Craigmont,46.214465,-116.39058,Good,,11-Apr-16,Good,,NA,NA,3117,do,46.2701N116.3965W,661970,Uhlorn 
Spring Canola,2011,Dayton,46.387825,-117.882682,Seems good,,5-May-11,Good,,NA,NA,3546,do,46.3950N117.8964W,675779,Athena
Spring Canola,2012,Dayton,46.393191,-117.895514,Good,,7-May-12,Good,,NA,NA,2234,do,46.3950N117.8964W,675779,Athena
Spring Canola,2013,Dayton,46.382816,-117.877331,Good,,16-Apr-13,Good,,NA,NA,2832,do,46.3950N117.8964W,675779,Athena
Spring Canola,2014,Dayton,46.392611,-117.884536,Good,,8-Apr-14,Good,,NA,NA,2536,do,46.3950N117.8964W,675779,Athena
Spring Canola,2015,Dayton,46.388217,-117.882779,Seems good,,28-Apr-15,Good,,NA,NA,1483,do,46.3950N117.8964W,675779,Athena
Spring Canola,2016,Dayton,46.382285,-117.877128,Seems good,,18-Apr-16,Good,,NA,NA,3286,do,46.3950N117.8964W,675779,Athena
Spring Canola,2015,Genesee,46.5826,-116.949,Seems good,,27-Apr-15,Good,,NA,NA,3230,do,46.6034N116.9381W,675767,Naff 
Spring Canola,2011,Moscow,46.7257,-116.9553,Good,,13-May-11,Good,,NA,NA,3562,do,46.7284N116.9381W,675767,Naff 
Spring Canola,2012,Moscow,46.7257,-116.9553,Good,,8-May-12,Good,,NA,NA,3212,do,46.7284N116.9381W,675767,Naff 
Spring Canola,2013,Moscow,46.7257,-116.9553,Good,,6-May-13,Good,,NA,NA,3130,do,46.7284N116.9381W,675767,Naff 
Spring Canola,2014,Moscow,46.7257,-116.9553,Good,,30-Apr-14,Good,,NA,NA,2446,do,46.7284N116.9381W,675767,Naff 
Spring Canola,2015,Moscow,46.7257,-116.9553,Good,,27-Apr-15,Good,,NA,NA,2460,do,46.7284N116.9381W,675767,Naff 
Spring Canola,2016,Moscow,46.7257,-116.9553,Good,,10-May-16,Good,,NA,NA,2708,do,46.7284N116.9381W,675767,Naff 
Spring Canola,2012,LaCrosse,46.811261,-117.702112,Seems good,,22-Apr-12,Good,,NA,NA,1857,do,46.8117N117.6881W,675774,Athena
Spring Canola,2013,LaCrosse,46.82073,-117.802135,Good,,22-Apr-13,Good,,NA,NA,1544,do,46.8117N117.6881W,675774,Athena
Spring Canola,2014,LaCrosse,46.81205,-117.795637,Good,,31-Mar-14,Good,,NA,NA,1641,do,46.8117N117.7714W,675773,Walla Walla 
Spring Canola,2016,LaCrosse,46.804837,-117.756421,Not sure,,6-Apr-16,Good,,NA,NA,1701,do,46.8117N117.8131W,675773,Walla Walla 
Spring Canola,2016,St. John,47.114194,-117.659167,Good,,18-Apr-16,Good,,3-Sep-16,NA,2505,WSU canola varietal trial report,47.1033N117.6464W,675844,Hesseltine
Spring Canola,2016,Fairfield,47.3623,-117.06689,Seems good,,2-May-16,Good,,8-Sep-16,NA,2811,WSU canola varietal trial report,47.3533N117.0631W,675770,Naff
Spring Canola,2011,Davenport,47.6508,118.1271,Good,,4-May-11,Good,,NA,NA,812,UOI canola varietal trial reports,47.6450N118.1464W,675827,Anders
Spring Canola,2012,Davenport,47.6508,118.1271,Good,,23-Apr-12,Good,,NA,NA,1901,do,47.6450N118.1464W,675827,Anders
Spring Canola,2013,Davenport,47.6508,118.1271,Good,,17-Apr-13,Good,,NA,NA,2371,do,47.6450N118.1464W,675827,Anders
Spring Canola,2014,Davenport,47.6508,118.1271,Good,,25-Apr-14,Good,,NA,NA,682,do,47.6450N118.1464W,675827,Anders
Spring Canola,2016,Davenport,47.65172,-118.12112,Seems good,,19-Apr-16,Good,,25-Jul-16,NA,2038,WSU canola varietal trial report,47.6450N118.1047W,675837,Broadax 
Spring Peas,2011,Walla-Walla,46.053467,-118.28225,Good,,19-Apr-11,Good,,NA,NA,2285,WSU cereal & legume varietal trial report,46.0617N118.2714W,675773,Walla Walla 
Spring Peas,2012,Walla-Walla,46.053868,-118.277437,Good,,23-Apr-12,Good,,26-Jul-12,Walla Walla Silt loam,2235,do,46.0617N118.2714W,675773,Walla Walla 
Spring Peas,2014,Walla-Walla,46.054374,-118.278597,Good,,4-Apr-14,Not sure,also mentioned as 4/2/2014,18-Jul-14,Walla Walla Silt loam,2124,do,46.0617N118.2714W,675773,Walla Walla 
Spring Peas,2015,Walla-Walla,46.055167,-118.2709,Good,,27-Mar-15,Good,,18-Jul-15,Walla Walla Silt loam,1926,do,46.0617N118.2714W,675773,Walla Walla 
Spring Peas,2013,Craigmont,46.229483,-116.431032,Seems good,,6-May-13,Good,,27-Aug-13,NA,2673,UOI cereal & legume varietal trial reports,46.2284N116.4382W,661970,Uhlorn 
Spring Peas,2014,Craigmont,46.289917,-116.419939,Not sure,,14-May-14,Good,,5-Sep-14,NA,1889,do,46.2701N116.4382W,661970,Uhlorn 
Spring Peas,2015,Craigmont,46.183546,-116.2031,Not sure,,6-May-15,Good,,24-Aug-15,NA,1041,do,46.1867N116.1882W,661983,Klickson
Spring Peas,2011,Genesee,46.333697,-116.572795,Not sure,,5-May-11,Good,,22-Aug-11,NA,3853,do,46.3534N116.5632W,662078,Taney
Spring Peas,2012,Genesee,46.332734,-116.57869,Not sure,,7-May-12,Good,,16-Aug-12,NA,3474,do,46.3534N116.5632W,662078,Taney
Spring Peas,2013,Genesee,46.3336,-116.575308,Not sure,,24-Apr-13,Good,,21-Aug-13,NA,4179,do,46.3534N116.5632W,662078,Taney
Spring Peas,2014,Genesee,46.301376,-116.475441,Not sure,,1-May-14,Good,,18-Aug-14,NA,2297,do,46.3117N116.4798W,662078,Taney
